name,read1,read2,link1,link2,section,treatment
msA11app,inputs/msA11app_1.fastq.gz,inputs/msA11app_2.fastq.gz,https://osf.io/download/uyvcn/,https://osf.io/download/ykr4m,app,ambient
msA11body,inputs/msA11body_1.fastq.gz,inputs/msA11body_2.fastq.gz,https://osf.io/download/r4h7u/,https://osf.io/download/sybjn,body,ambient
msA11eye,inputs/msA11eye_1.fastq.gz,inputs/msA11eye_2.fastq.gz,https://osf.io/download/jeb25/,https://osf.io/download/f7zeh/,eye,ambient
msA3_A8app,inputs/msA3_A8app_1.fastq.gz,inputs/msA3_A8app_2.fastq.gz,https://osf.io/download/z8qha/,https://osf.io/download/exr3f/,app,ambient
msA3_A8body,inputs/msA3_A8body_1.fastq.gz,inputs/msA3_A8body_2.fastq.gz,https://osf.io/download/h7cew/,https://osf.io/download/jxvzt/,body,ambient
msA8eye,inputs/msA8eye_1.fastq.gz,inputs/msA8eye_2.fastq.gz,https://osf.io/download/yv4st/,https://osf.io/download/9aerx/,eye,ambient
msB23app,inputs/msB23app_1.fastq.gz,inputs/msB23app_2.fastq.gz,https://osf.io/download/56aqd/,https://osf.io/download/wuygf/,app,lowpH
msB11_B23body,inputs/msB11_B23body_1.fastq.gz,inputs/msB11_B23body_2.fastq.gz,https://osf.io/download/895zp/,https://osf.io/download/45xat/,body,lowpH
msB11_B23eye,inputs/msB11_B23eye_1.fastq.gz,inputs/msB11_B23eye_2.fastq.gz,https://osf.io/download/zqd2p/,https://osf.io/download/2j65u/,eye,lowpH
msB20app,inputs/msB20app_1.fastq.gz,inputs/msB20app_2.fastq.gz,https://osf.io/download/atzx7/,https://osf.io/download/a2fnh/,app,lowpH
msB20body,inputs/msB20body_1.fastq.gz,inputs/msB20body_2.fastq.gz,https://osf.io/download/m4rg9/,https://osf.io/download/wrmya/,body,lowpH
msB20eye,inputs/msB20eye_1.fastq.gz,inputs/msB20eye_2.fastq.gz,https://osf.io/download/bq8wf/,https://osf.io/download/2zxw5/,eye,lowpH
msC13app,inputs/msC13app_1.fastq.gz,inputs/msC13app_2.fastq.gz,https://osf.io/download/zvudw/,https://osf.io/download/yvkb8/,app,lowpHhighT
msC13body,inputs/msC13body_1.fastq.gz,inputs/msC13body_2.fastq.gz,https://osf.io/download/658vp/,https://osf.io/download/bv8xn/,body,lowpHhighT
msC13eye,inputs/msC13eye_1.fastq.gz,inputs/msC13eye_2.fastq.gz,https://osf.io/download/9mwkc/,https://osf.io/download/abpku/,eye,lowpHhighT
msC19app,inputs/msC19app_1.fastq.gz,inputs/msC19app_2.fastq.gz,https://osf.io/download/t97hg/,https://osf.io/download/j2hpe/,app,lowpHhighT
msC9_C19body,inputs/msC9_C19body_1.fastq.gz,inputs/msC9_C19body_2.fastq.gz,https://osf.io/download/yug4f/,https://osf.io/download/zbfxy/,body,lowpHhighT
msC9_C19eye,inputs/msC9_C19eye_1.fastq.gz,inputs/msC9_C19eye_2.fastq.gz,https://osf.io/download/mgfkz/,https://osf.io/download/ezt3d/,eye,lowpHhighT
